t,xp,zp,vxp,vzp,axp,azp,xo,zo,vxo,vzo,axo,azo,xs,zs,vxs,vzs,axs,azs
0.08229167,1.62460700,-1.24479200,-1.20031600,-1.80770500,-4322.87900000,3234.95000000,-3.38370200,5.32381100,0.00702084,-0.20413560,-231.51000000,18.94487000,-4.98022800,-3.57303000,4.97009600,7.01316500,957.91270000,-313.21650000
0.08333333,1.62214500,-1.24730800,0.42076960,-0.05702419,1375.20000000,1256.43500000,-3.38503500,5.32321000,-2.32969800,-0.00510908,544.22090000,507.53230000,-4.96453600,-3.56237600,6.46952300,5.20770000,29.04612000,-3617.33300000
0.08437500,1.62548400,-1.24491100,2.69860700,1.66176100,187.65640000,400.13050000,-3.38855600,5.32380100,0.47420880,1.00716000,2282.40000000,434.77710000,-4.96675000,-3.56218100,0.72573310,-2.09118800,-5210.81100000,-3473.23000000
0.08541667,1.62776800,-1.24384600,0.50972310,0.35268300,-705.12240000,-280.22860000,-3.38404700,5.32530800,3.75776100,1.00748100,1802.02300000,-129.76830000,-4.96302400,-3.56673200,-1.60393500,-2.26289700,-3223.76400000,-273.13790000
0.08645833,1.62654600,-1.24417600,0.57191410,0.81608610,314.53020000,505.36390000,-3.38072700,5.32590000,3.47408800,0.55073560,-947.24920000,-129.89490000,-4.97009100,-3.56689500,-7.74117000,-1.53576200,-1877.02900000,2463.00000000
0.08750000,1.62895900,-1.24214600,1.95549400,1.84046300,1553.86600000,-1405.68900000,-3.37681000,5.32645600,2.17422700,0.76218830,-411.06390000,875.35270000,-4.97915100,-3.56993200,-5.50396900,1.53718200,3692.05800000,1117.55300000
0.08854167,1.63062000,-1.24034200,3.22386400,-1.80072400,-4751.42400000,1389.63700000,-3.37619700,5.32748800,1.93160000,2.26066200,-4684.98900000,1455.74700000,-4.98155800,-3.56369300,0.58611210,2.72768200,3105.24900000,2237.05800000
0.08958333,1.63567500,-1.24589800,-5.89115200,2.60741600,-1885.41000000,3090.13500000,-3.37278600,5.33116500,-5.69427900,4.05089800,-3183.67400000,1079.54500000,-4.97793000,-3.56424900,1.60471400,3.98416500,2689.15300000,2027.42800000
0.09062500,1.61834700,-1.23491000,-5.58539300,7.80264200,1765.78300000,744.23650000,-3.38806000,5.33592700,-8.35675100,4.48869600,115.93450000,-1031.53600000,-4.97821400,-3.55539200,4.54944100,8.68274300,404.77470000,501.76590000
0.09166667,1.62403900,-1.22964200,2.85291400,2.59140200,3103.64200000,-4182.17500000,-3.39019500,5.34051700,-2.32939700,2.12928000,3868.78000000,-2589.09600000,-4.96845200,-3.54616000,4.75372100,4.98890200,-3084.90300000,-4946.78700000
0.09270833,1.62429000,-1.22951100,-1.23374900,-1.05404000,2061.18700000,-5263.21800000,-3.39291300,5.34036300,-1.44415200,-1.36950400,2528.65800000,-3660.60200000,-4.96831100,-3.54499900,-3.38307500,-2.27181800,-2157.71300000,-6303.92300000
0.09375000,1.62146900,-1.23183800,5.87299200,-7.59280100,555.27320000,-1272.08300000,-3.39320400,5.33766400,2.86262400,-5.15459000,2065.92800000,-1962.35700000,-4.97550000,-3.55089300,-0.93901180,-8.19600400,-2753.17200000,-3129.83100000
0.09479167,1.63652600,-1.24533000,4.06913200,-6.05252600,464.52360000,-1843.73100000,-3.38694900,5.32962400,3.89276200,-6.22836200,-757.92410000,-440.76870000,-4.97026700,-3.56207400,-5.42044400,-9.24595200,677.86210000,-747.70760000
0.09583333,1.62994600,-1.24444700,1.52718500,-7.50404600,-4726.77500000,1294.24100000,-3.38509400,5.32468800,0.42516090,-5.21331600,-446.23400000,-1606.56300000,-4.98679300,-3.57015500,-4.92547600,-8.81527400,2100.05900000,1948.08900000
0.09687500,1.63970700,-1.26096300,-0.62576330,-7.86871500,172.45030000,-1554.03600000,-3.38606400,5.31876300,2.40134500,-9.39422700,-217.41810000,-2819.67300000,-4.98052900,-3.58043900,3.87742400,-6.22314900,7048.94200000,5127.78800000
0.09791667,1.62864300,-1.26084100,-3.15654800,-6.34377700,-329.89100000,-1764.53100000,-3.38009100,5.30511700,1.69488800,-12.20656000,-125.49470000,-2758.02800000,-4.97871500,-3.58312000,6.85597400,2.35672000,1841.54600000,3786.04100000
0.09895833,1.63313100,-1.27417900,2.50557600,-14.31599000,1628.31600000,-5454.66000000,-3.38253300,5.29333300,0.15328820,-13.97483000,-637.22010000,-2217.14200000,-4.96624500,-3.57552900,9.79186900,3.14396000,-1252.77900000,740.74060000
0.10000000,1.63386300,-1.29066600,-1.08990500,-17.04259000,-3203.62000000,-2541.35500000,-3.37977200,5.27600200,1.78177900,-17.57941000,-542.61900000,-2691.00300000,-4.95831500,-3.57657000,3.48275000,1.63517600,-5192.04000000,-1229.45800000
0.10104170,1.63086000,-1.30968500,-4.23045500,-19.55654000,3334.12700000,256.56980000,-3.37882100,5.25670900,-1.27010600,-19.35141000,714.86290000,4425.71800000,-4.95899000,-3.57212200,-1.73783400,2.22022100,-2786.85200000,122.57730000
0.10208330,1.62504900,-1.33140800,4.31375600,-17.22399000,1596.17600000,11270.79000000,-3.38241800,5.23568700,1.99321700,-9.92659100,565.37620000,10478.16000000,-4.96193600,-3.57194500,-2.14269300,0.83368730,-1184.51800000,-73.37971000
0.10312500,1.63984700,-1.34556800,3.62552100,2.80454100,-3425.85000000,13083.93000000,-3.37466800,5.23602900,2.48388700,4.87669800,67.24664000,9645.70700000,-4.96345400,-3.57038600,-3.55429600,2.41812600,-303.33390000,890.22140000
0.10416670,1.63260200,-1.32556600,-7.22168200,14.82582000,-2941.19500000,3548.24800000,-3.37724300,5.24584700,-0.36222210,9.93107100,-1738.42100000,1993.01900000,-4.96934100,-3.56690700,-3.74426200,2.91703500,1801.70200000,1274.60700000
0.10520830,1.62480200,-1.31468100,-1.86923600,7.08445500,1616.63200000,-3322.06000000,-3.37542300,5.25671800,0.36986020,8.76265000,-1261.35700000,-1902.50800000,-4.97125400,-3.56430800,0.68369090,4.53053400,1076.44400000,1298.19300000
0.10625000,1.62870800,-1.31080600,-1.46527000,7.08754800,2854.06800000,-212.32460000,-3.37647300,5.26410200,-3.35050000,5.62590200,-410.49300000,-1251.53100000,-4.96791600,-3.55746900,-0.52165180,6.30137600,1066.37400000,978.48010000
0.10729170,1.62175000,-1.29991500,0.72604820,8.38138900,1792.43500000,-590.27860000,-3.38240300,5.26843900,-1.54968600,5.74989400,1006.07700000,-672.80080000,-4.97234100,-3.55118100,0.76458840,6.18179900,2819.94300000,-1452.86100000
0.10833330,1.63022100,-1.29334500,5.50529200,4.97445600,2114.86500000,-5030.79800000,-3.37970100,5.27608100,0.55515290,5.19275700,1006.10400000,-1493.14500000,-4.96632300,-3.54459000,7.12500300,3.72556600,-549.23470000,-2832.49100000
0.10937500,1.63321900,-1.28955200,3.26779000,-1.45573900,-1792.46000000,-3127.45100000,-3.38124600,5.27925700,-0.73488080,1.95613200,398.70260000,-2751.42100000,-4.95749700,-3.54341900,0.43745220,-0.28234690,-5789.88400000,-3087.30700000
0.11041670,1.63702900,-1.29637800,2.43251500,-3.27532100,-781.65240000,15.56456000,-3.38123200,5.28015700,1.65617700,-0.36928470,1482.89000000,-1626.94200000,-4.96541200,-3.54517800,-7.44732100,-2.60554300,-6149.13300000,-1521.12200000
